2024-08-20 13:54:53 UTC-7
-30acaaaa:19170784458:-7dc2

pH Measure.1
Time [s],Measured value,dU/dt [mV/min],Temperature [°C]
0.0,4.562984466552734,0.0,21.10999298095703
2.0,4.834386825561523,779.6705322265625,21.122745513916016
4.0,5.2587127685546875,655.0821533203125,21.16705894470215
6.0,5.631228446960449,624.5613403320312,21.22317886352539
8.0,5.981503963470459,552.1163940429688,21.278348922729492
10.0,6.290077209472656,495.01971435546875,21.327787399291992
12.0,6.565587997436523,421.06304931640625,21.371171951293945
14.0,6.798649311065674,353.8154602050781,21.409772872924805
16.0,6.99326229095459,312.3362731933594,21.44391441345215
18.0,7.161775588989258,262.5458679199219,21.47582244873047
20.0,7.305685043334961,217.31524658203125,21.502948760986328
22.0,7.424867630004883,180.5964813232422,21.528160095214844
24.0,7.523250102996826,153.72171020507812,21.54762840270996
26.0,7.607000827789307,129.53372192382812,21.565183639526367
28.0,7.677667617797852,107.96633911132812,21.58465576171875
30.0,7.737065315246582,90.56427764892578,21.59965705871582
32.0,7.786701202392578,76.94524383544922,21.61274528503418
34.0,7.828780174255371,63.845909118652344,21.62519645690918
36.0,7.8641862869262695,55.80908966064453,21.631900787353516
38.0,7.893895149230957,46.39738845825195,21.644670486450195
40.0,7.919092178344727,37.63086700439453,21.653610229492188
42.0,7.940254211425781,31.790943145751953,21.65967559814453
44.0,7.958151340484619,27.58819007873535,21.665103912353516
46.0,7.973317623138428,24.46159553527832,21.668933868408203
48.0,7.98680305480957,20.62400245666504,21.677555084228516
50.0,7.997624397277832,18.543176651000977,21.6829833984375
52.0,8.007469177246094,14.604392051696777,21.6788330078125
54.0,8.015603065490723,12.5869779586792,21.687772750854492
56.0,8.02263355255127,10.173101425170898,21.69415855407715
58.0,8.028738021850586,9.436341285705566,21.696712493896484
60.0,8.034011840820312,8.366939544677734,21.700544357299805
62.0,8.038421630859375,6.992074966430664,21.70309829711914
64.0,8.042152404785156,5.8962225914001465,21.704376220703125
66.0,8.045424461364746,5.286789417266846,21.70565414428711
68.0,8.04830265045166,4.297019958496094,21.708526611328125
70.0,8.050718307495117,4.185355186462402,21.70948600769043
72.0,8.052993774414062,3.034529209136963,21.70948600769043
74.0,8.054924011230469,2.6164491176605225,21.712039947509766
76.0,8.056510925292969,2.3553755283355713,21.71331787109375
78.0,8.057862281799316,3.159801959991455,21.714914321899414
80.0,8.059237480163574,1.8951270580291748,21.718425750732422
82.0,8.060094833374023,1.7227939367294312,21.72130012512207
84.0,8.0609712600708,1.353697657585144,21.718746185302734
86.0,8.061836242675781,1.1684093475341797,21.722257614135742
88.0,8.062371253967285,0.9641506671905518,21.72098159790039
90.0,8.062724113464355,1.0571073293685913,21.722257614135742
92.0,8.063355445861816,1.0109094381332397,21.722578048706055
94.0,8.063937187194824,0.7655677199363708,21.722578048706055


SET U 1.1
Time [s],Measured value [mV],Volume [mL],dV/dt [µL/min],Temperature [°C]
0.0,-63.66865158081055,0.0,0.0,21.72513198852539
2.0012998580932617,-63.655025482177734,0.047999996691942215,1731.380615234375,21.72513198852539
4.001500129699707,-62.12196731567383,0.15699999034404755,3217.719482421875,21.726089477539062
6.001799583435059,-57.603355407714844,0.3240000009536743,4846.33154296875,21.72513198852539
8.001799583435059,-52.69319152832031,0.5400000214576721,6335.400390625,21.72513198852539
10.001500129699707,-47.1699333190918,0.7989999651908875,7643.19921875,21.72864532470703
12.00149917602539,-38.498252868652344,1.097000002861023,8817.775390625,21.730241775512695
14.001299858093262,-17.527935028076172,1.4259998798370361,9818.6318359375,21.727685928344727
16.00119972229004,80.9020767211914,1.7449997663497925,10048.888671875,21.72864532470703
18.00149917602539,188.86256408691406,1.747999906539917,7837.291015625,21.730241775512695
20.00149917602539,208.9083251953125,1.747999906539917,6739.349609375,21.731517791748047
22.001798629760742,210.85348510742188,1.747999906539917,5911.23193359375,21.72896385192871
24.001298904418945,211.19229125976562,1.747999906539917,4362.38134765625,21.733753204345703
26.00139808654785,211.3682098388672,1.747999906539917,939.55712890625,21.731517791748047
28.00149917602539,211.4724578857422,1.747999906539917,0.0,21.730241775512695
30.00149917602539,211.56190490722656,1.7510000467300415,56.25,21.734073638916016
32.001800537109375,211.650146484375,1.7569998502731323,214.38613891601562,21.733753204345703
34.001502990722656,211.8509521484375,1.7599999904632568,147.54644775390625,21.734073638916016
36.001502990722656,212.031005859375,1.7629998922348022,115.40327453613281,21.735031127929688
38.00160217285156,212.23239135742188,1.7689999341964722,120.72290802001953,21.733753204345703
40.001399993896484,212.5830535888672,1.777999758720398,176.42523193359375,21.735031127929688
42.00170135498047,213.17831420898438,1.7929998636245728,351.6712646484375,21.7353515625
44.00170135498047,214.0898895263672,1.8149998188018799,711.0343627929688,21.734073638916016
46.00160217285156,215.09268188476562,1.836999773979187,685.2012939453125,21.735031127929688
48.00170135498047,216.22695922851562,1.8589999675750732,640.0242919921875,21.737586975097656
50.001502990722656,217.04908752441406,1.8789998292922974,612.8474731445312,21.73662757873535
52.001399993896484,217.9381561279297,1.8990000486373901,594.602783203125,21.737586975097656
54.001502990722656,218.73599243164062,1.9179999828338623,569.2074584960938,21.7353515625
56.00170135498047,219.5107421875,1.936999797821045,565.1717529296875,21.73662757873535
58.001399993896484,220.1480712890625,1.9549998044967651,543.35302734375,21.737905502319336
60.00170135498047,220.8357391357422,1.972999930381775,535.95654296875,21.73662757873535
62.00160217285156,221.5251922607422,1.9900000095367432,526.2625732421875,21.737586975097656
64.00129699707031,222.11927795410156,2.006999969482422,517.6224975585938,21.737905502319336
66.00160217285156,222.73350524902344,2.0239999294281006,508.794189453125,21.737905502319336
68.00170135498047,223.28494262695312,2.0409998893737793,501.5838623046875,21.737905502319336
70.00150299072266,223.84646606445312,2.057000160217285,492.9808044433594,21.737905502319336
72.00160217285156,224.4364013671875,2.0739998817443848,491.3647766113281,21.737905502319336
74.00160217285156,224.86997985839844,2.0899999141693115,486.73785400390625,21.740459442138672
76.00129699707031,225.40602111816406,2.1059999465942383,481.1634521484375,21.740140914916992
78.00160217285156,225.9154052734375,2.121999740600586,478.1904296875,21.737586975097656
80.00170135498047,226.38450622558594,2.138000011444092,474.4861145019531,21.740459442138672
82.00160217285156,226.81333923339844,2.1529998779296875,471.1006164550781,21.740140914916992
84.00170135498047,227.2682342529297,2.168999671936035,469.3078918457031,21.740459442138672
86.00140380859375,227.74859619140625,2.18500018119812,468.5633239746094,21.740140914916992
88.00129699707031,228.14663696289062,2.200000047683716,467.8159484863281,21.740140914916992
90.00160217285156,228.5926513671875,2.2159998416900635,466.4527893066406,21.740459442138672
92.00129699707031,228.9332275390625,2.2209999561309814,429.91107177734375,21.740459442138672
94.00160217285156,229.02857971191406,2.2209999561309814,379.03485107421875,21.740459442138672
96.00170135498047,229.0279998779297,2.2209999561309814,338.9259948730469,21.74301528930664
98.00140380859375,229.045166015625,2.2209999561309814,287.10467529296875,21.741418838500977
100.00129699707031,229.05702209472656,2.2209999561309814,122.65322875976562,21.741418838500977
102.00160217285156,229.06649780273438,2.2209999561309814,9.073482513427734,21.741418838500977
102.70159912109375,229.07774353027344,2.2209999561309814,8.480987548828125,21.738862991333008
