2024-08-20 14:21:27 UTC-7
-30acaaaa:19170784458:-7d86

pH Measure.1
Time [s],Measured value,dU/dt [mV/min],Temperature [°C]
0.0,4.568612098693848,0.0,20.97867774963379
2.0,4.801787376403809,733.5331420898438,20.992382049560547
4.0,5.200337886810303,580.9331665039062,21.037317276000977
6.0,5.526821613311768,535.4701538085938,21.093416213989258
8.0,5.836612701416016,516.3162841796875,21.150798797607422
10.0,6.120333671569824,446.7823181152344,21.20309066772461
12.0,6.370462417602539,397.1324157714844,21.24741554260254
14.0,6.590738296508789,348.9306945800781,21.294614791870117
16.0,6.784693717956543,309.1666259765625,21.328105926513672
18.0,6.953223705291748,258.0140380859375,21.363513946533203
20.0,7.098116397857666,226.69908142089844,21.39031219482422
22.0,7.22144889831543,191.87001037597656,21.414878845214844
24.0,7.328541278839111,166.5108642578125,21.437532424926758
26.0,7.42052698135376,148.0076904296875,21.455400466918945
28.0,7.500751972198486,127.97918701171875,21.474864959716797
30.0,7.569870471954346,105.50460052490234,21.491140365600586
32.0,7.628082752227783,90.2885513305664,21.508054733276367
34.0,7.676997184753418,72.14461517333984,21.519542694091797
36.0,7.719692707061768,67.51708221435547,21.529436111450195
38.0,7.7562947273254395,55.63552474975586,21.540925979614258
40.0,7.787627696990967,49.36637496948242,21.54762840270996
42.0,7.814696311950684,42.40034103393555,21.552417755126953
44.0,7.838387966156006,37.313621520996094,21.56262969970703
46.0,7.858842849731445,32.7939453125,21.569013595581055
48.0,7.87655782699585,27.1964111328125,21.572845458984375
50.0,7.891826152801514,23.535907745361328,21.5817813873291
52.0,7.904622554779053,19.929746627807617,21.584335327148438
54.0,7.9155802726745605,17.2821044921875,21.586889266967773
56.0,7.925137519836426,15.291068077087402,21.593273162841797
58.0,7.933651924133301,13.598270416259766,21.59359359741211
60.0,7.940751552581787,11.014039993286133,21.59869956970215
62.0,7.947227954864502,9.957892417907715,21.600934982299805
64.0,7.952686309814453,8.6035795211792,21.605085372924805
66.0,7.9574103355407715,7.609218120574951,21.606042861938477
68.0,7.96157169342041,6.387402057647705,21.607318878173828
70.0,7.965190887451172,5.075052261352539,21.608915328979492
72.0,7.968275547027588,5.590554237365723,21.608596801757812
74.0,7.9710283279418945,4.815322399139404,21.61274528503418
76.0,7.9734086990356445,4.294855117797852,21.615299224853516
78.0,7.975605010986328,3.564218044281006,21.614980697631836
80.0,7.977355480194092,2.593470335006714,21.6165771484375
82.0,7.978989124298096,2.7856075763702393,21.6165771484375
84.0,7.9800286293029785,3.0474767684936523,21.620088577270508
86.0,7.9814229011535645,2.1792373657226562,21.62136459350586
88.0,7.982494831085205,2.0196125507354736,21.62136459350586
90.0,7.9835710525512695,1.7565194368362427,21.620088577270508
92.0,7.984515190124512,1.0772355794906616,21.621685028076172
94.0,7.985241413116455,1.5005165338516235,21.62136459350586
96.0,7.985853672027588,1.0478355884552002,21.62136459350586
98.0,7.986411094665527,0.8670549988746643,21.622642517089844
100.0,7.986793518066406,0.9696364402770996,21.624238967895508
102.0,7.987228870391846,0.9444180130958557,21.62519645690918


SET U 1.1
Time [s],Measured value [mV],Volume [mL],dV/dt [µL/min],Temperature [°C]
0.0,-59.18794631958008,0.0,0.0,21.62551498413086
2.0013999938964844,-59.2027587890625,0.047999996691942215,1731.380615234375,21.62551498413086
4.001500129699707,-57.62645721435547,0.15699999034404755,3217.719482421875,21.62519645690918
6.001699447631836,-53.39455795288086,0.3240000009536743,4846.33154296875,21.627750396728516
8.001699447631836,-48.71542739868164,0.5400000214576721,6331.56884765625,21.628068923950195
10.001299858093262,-43.590248107910156,0.7989999651908875,7647.53173828125,21.626792907714844
12.001399040222168,-37.225257873535156,1.097000002861023,8817.775390625,21.627750396728516
14.001199722290039,-17.120389938354492,1.4259998798370361,9813.39453125,21.628068923950195
16.00119972229004,89.84346008300781,1.7279999256134033,9969.7177734375,21.627750396728516
18.001501083374023,191.4113006591797,1.7289998531341553,7998.0791015625,21.63030433654785
20.001501083374023,208.9871063232422,1.7289998531341553,6893.091796875,21.631580352783203
22.001399993896484,210.9062042236328,1.7289998531341553,6056.365234375,21.631900787353516
24.001501083374023,211.24205017089844,1.7289998531341553,4242.2294921875,21.63062286376953
26.001298904418945,211.40374755859375,1.7289998531341553,848.625244140625,21.631900787353516
28.00119972229004,211.51687622070312,1.7289998531341553,0.0,21.631580352783203
30.00160026550293,211.60040283203125,1.7329999208450317,131.87246704101562,21.631900787353516
32.0015983581543,211.7401885986328,1.7419999837875366,348.24615478515625,21.635412216186523
34.001399993896484,212.0594482421875,1.74399995803833,197.4250030517578,21.63445472717285
36.00149917602539,212.2140350341797,1.747999906539917,137.5634765625,21.635412216186523
38.001399993896484,212.41957092285156,1.7529999017715454,128.48912048339844,21.635412216186523
40.00129699707031,212.77081298828125,1.7629998922348022,166.2646026611328,21.633176803588867
42.0015983581543,213.2991485595703,1.777999758720398,332.1676940917969,21.63828468322754
44.0016975402832,214.2581024169922,1.7999999523162842,712.5617065429688,21.637008666992188
46.00129699707031,215.31005859375,1.8219999074935913,677.6076049804688,21.63828468322754
48.00149917602539,216.36911010742188,1.8440001010894775,628.4380493164062,21.63796615600586
50.00149917602539,217.165771484375,1.8639999628067017,618.6640625,21.63796615600586
52.00129699707031,218.02818298339844,1.8839999437332153,592.7969970703125,21.63413429260254
54.00149917602539,218.79995727539062,1.9029998779296875,571.5166625976562,21.63796615600586
56.0016975402832,219.52554321289062,1.9210000038146973,563.8694458007812,21.63828468322754
58.001399993896484,220.23394775390625,1.938999891281128,551.5206909179688,21.640838623046875
60.00149917602539,220.93287658691406,1.9570000171661377,533.0881958007812,21.640520095825195
62.00149917602539,221.5370330810547,1.9749999046325684,523.3848266601562,21.640838623046875
64.00130462646484,222.14060974121094,1.9919999837875366,517.5523071289062,21.640520095825195
66.00150299072266,222.74298095703125,2.008999824523926,508.0018005371094,21.63796615600586
68.00160217285156,223.32345581054688,2.0250000953674316,500.35296630859375,21.640838623046875
70.00150299072266,223.86778259277344,2.0420000553131104,495.39111328125,21.639562606811523
72.00160217285156,224.38902282714844,2.057999849319458,490.3689270019531,21.640838623046875
74.00140380859375,224.9132080078125,2.0739998817443848,484.9588623046875,21.63828468322754
76.00130462646484,225.38172912597656,2.0899999141693115,480.6893005371094,21.637008666992188
